"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"CIPLA","EQ","01-Apr-2021","        815.10","        819.50","        824.00","        811.60","        818.00","        818.30","        818.32","    1910949","          1563771915.30","      39715","     570752","         29.87"
"CIPLA","EQ","05-Apr-2021","        818.30","        825.00","        827.00","        806.10","        820.00","        819.75","        815.61","    2920638","          2382108657.40","      59161","     780655","         26.73"
"CIPLA","EQ","06-Apr-2021","        819.75","        824.00","        845.00","        821.85","        835.70","        836.15","        833.50","    4569120","          3808341443.75","      96945","    1046728","         22.91"
"CIPLA","EQ","07-Apr-2021","        836.15","        836.15","        844.90","        830.25","        838.00","        840.85","        839.40","    2404472","          2018308718.80","      71257","     796768","         33.14"
"CIPLA","EQ","08-Apr-2021","        840.85","        843.00","        850.45","        838.40","        841.00","        842.00","        844.77","    2459821","          2077988300.30","      54329","     953942","         38.78"
"CIPLA","EQ","09-Apr-2021","        842.00","        840.90","        892.30","        836.65","        886.95","        883.05","        875.25","   11189432","          9793506835.20","     176022","    1880106","         16.80"
"CIPLA","EQ","12-Apr-2021","        883.05","        890.00","        940.00","        879.15","        907.00","        902.40","        913.81","   30141861","         27544017319.30","     516625","    3403805","         11.29"
"CIPLA","EQ","13-Apr-2021","        902.40","        921.95","        932.60","        878.30","        889.00","        885.20","        899.74","   11667200","         10497456751.45","     185356","    1657842","         14.21"
"CIPLA","EQ","15-Apr-2021","        885.20","        898.80","        925.40","        883.90","        914.00","        914.20","        912.14","   13218002","         12056725127.15","     254586","    1195634","          9.05"
"CIPLA","EQ","16-Apr-2021","        914.20","        919.75","        944.25","        910.90","        940.10","        938.05","        929.61","   13746268","         12778681124.65","     221996","    5019694","         36.52"
"CIPLA","EQ","19-Apr-2021","        938.05","        945.25","        955.00","        924.00","        950.00","        946.30","        945.66","   17805574","         16837930206.45","     315326","    3365829","         18.90"
"CIPLA","EQ","20-Apr-2021","        946.30","        965.10","        966.35","        941.10","        951.00","        949.30","        951.80","   10205616","          9713696400.95","     157298","    1904032","         18.66"
"CIPLA","EQ","22-Apr-2021","        949.30","        958.80","        963.15","        938.85","        945.50","        944.35","        951.75","    8522208","          8111022828.80","     153862","    2502617","         29.37"
"CIPLA","EQ","23-Apr-2021","        944.35","        944.35","        952.85","        922.75","        936.40","        935.60","        934.36","    7972589","          7449235489.55","     139014","    1545821","         19.39"
"CIPLA","EQ","26-Apr-2021","        935.60","        935.60","        940.00","        902.15","        907.95","        905.40","        914.11","   10255697","          9374884792.95","     161321","    3451318","         33.65"
"CIPLA","EQ","27-Apr-2021","        905.40","        913.00","        919.50","        901.00","        911.20","        912.40","        909.22","    5669049","          5154419938.00","     120188","    1126288","         19.87"
"CIPLA","EQ","28-Apr-2021","        912.40","        914.35","        918.00","        902.95","        906.25","        910.20","        909.94","    7251009","          6597970442.40","     134413","    1772739","         24.45"
"CIPLA","EQ","29-Apr-2021","        910.20","        911.95","        917.40","        904.00","        906.00","        906.50","        910.22","    4953091","          4508420763.50","      88604","    1122534","         22.66"
"CIPLA","EQ","30-Apr-2021","        906.50","        900.75","        921.00","        900.75","        910.00","        910.35","        911.47","    6459737","          5887824394.60","     121466","    2004555","         31.03"
